EIF3B	EIF3B
IPL1	CDK2
SMC5	SMC5
MCM4	MCM4
CDC42	CDC42
IPL1	FGFR2
RHEB	RHEB
HFA1	ACACB
NAB3	RBM4B
PGM2	PGM5
HCM1	FOXO3
RBG1	DRG1
CDK1	FYN
CDK1	CDK4
PKH2	FYN
MTR10	TNPO3
COPG	COPG2
LAC1	CERS4
BDF1	BRD2
SSO1	STX3
COPA	COPA
VDAC2	VDAC1
PHR	CRY1
SNX4	SNX7
CDC15	FGFR3
CDC5	EGFR
RRP1	RRP1B
CSM3	TIPIN
CYPH	PPIE
ATG1	FYN
CUL3	CUL3
NOP58	NOP58
KIC1	FYN
CDC15	CDK5
BDF1	BRDT
HNT1	HINT1
KPC1	JAK2
CG24	CCNB1
BLM10	PSME4
CDK1	ACVR1
KAPB	TBK1
CTK1	FGFR1
RAD53	CDK5
SSO2	STX1B
PPID	PPID
CDC5	PLK2
LTN1	LTN1
CDK1	FGFR3
STT3	STT3B
CBF5	DKC1
CDK1	AKT1
YOX1	PAX3
KAPA	ACVR1
BDF1	BRD4
PKH2	CDK4
ETP1	BRAP
RHO1	RHOC
AKL1	AAK1
ATG1	CDK4
PEX6	PEX6
ITC1	BAZ1B
EF3A	CFTR
MCM2	MCM2
MCM3	MCM3
FTHC	MTHFS
KIC1	TNIK
STP1	IKZF1
BUR1	AKT1
CTK1	NTRK2
CDC15	ACVR1
CPYI	PEBP1
CDK1	JAK2
ACT	ACTB
NAB3	RBM14
CDK1	CDK1
GSP1	RAN
STE13	DPP4
MPS1	CDK5
ARPC5	ARPC5
BET1	BET1
COX2	COX2
YP216	BAZ1A
BUR1	NTRK2
PKH2	FGFR3
COPG	COPG1
PTK2	BRSK1
HMS1	TFEB
CDC15	EGFR
KAPC	FGFR1
LAS17	WASL
PEP7	HGS
PDI	PDIA4
RAD53	FGFR2
RIM11	GSK3B
MYO4	MYO5A
UTP22	NOL6
TSA1	PRDX1
BUR1	TBK1
SEC4	CDC42
RUB1	NEDD8
KAPB	CDK5
PHB2	PHB2
RTC1	WDR24
HSL1	TBK1
INM1	IMPA1
HAT1	HAT1
PHO85	CDK5
PRP46	PLRG1
RAD53	AKT1
NOP2	NOP2
RFC5	RFC3
IMB2	TNPO1
NCPR	NOS1
ROX1	SOX8
CTK1	ACVR1
YP015	KLF13
CTK1	CDK2
RRP3	DDX47
PHB1	PHB
MYO1	MYH4
RPD3	HDAC2
PTK2	BRSK2
AP1M1	AP1M1
BUR1	FGFR1
MSN4	SP1
TAF1	TAF1
CBK1	STK38
BDF1	BRD3
DHH1	DDX6
YPT6	RAB6A
KAPA	CDK5
CDC5	CDK4
RAD7	FBXL7
TSR1	TSR1
KAPB	NTRK2
CCH1	SCN9A
CAK1	CDK4
ACE2	PRDM1
KCS1	IP6K2
CDC15	TBK1
SF3B1	SF3B1
CDC37	CDC37
KIN28	CDK4
EMW1	TTC27
NSA2	NSA2
CDC5	CDK2
BUR1	CDK6
KAPA	TBK1
YO075	ABCA1
PXA1	ABCD2
PEP3	VPS18
HSL1	FGFR2
ATG1	ULK1
DBP4	DDX10
MYO1	MYH8
KIC1	FGFR3
SCS2	VAPB
NACB1	BTF3
YPT53	RAB5C
TOM1	HUWE1
TOP2	TOP2A
RPN3	PSMD3
BUR1	FGFR2
KAPB	FGFR1
PRP45	SNW1
ECM5	KDM5B
VPS53	VPS53
UTP12	WDR3
CYPC	PPIE
KCC2	CAMKV
IPL1	CDK6
SMC1	SMC1B
PKH2	NTRK2
PXA1	ABCD3
MRK1	GSK3A
ITT1	RNF14
IMP4	IMP4
RSR1	RAP1A
YP015	SALL4
MYO3	MYO1F
SMC1	SMC1A
ATG5	ATG5
MYO2	MYO5A
PKH2	AKT1
KCC1	CAMKV
TERT	TERT
MCM6	MCM6
HRR25	CDK2
YPT6	RAB6B
RAD53	ACVR1
YP216	BAZ1B
ARPC2	ARPC2
H2A2	SOS1
CAK1	CDK5
KSP1	CDK6
PWP2	PWP2
SSO1	STX1B
CDC5	CDK5
GLU2A	GANAB
ARK1	FYN
ATR	TRRAP
MPS1	CDK6
UBC1	UBE2K
MYO2	MYH9
NIC96	NUP93
MET18	MMS19
CAK1	FGFR2
EPL1	EPC2
CDC5	ACVR1
TYW1	TYW1
PHSG	PYGL
PWP1	PWP1
NOL10	NOL10
VDAC1	VDAC3
MPS1	ACVR1
KIN28	CDK6
KPC1	EGFR
EDE1	EPS15
RSP5	NEDD4
MPS1	FGFR3
YPK1	SGK1
ACA1	ATF2
RRP14	SURF6
RSR1	RAP1B
IDH2	IDH3A
CDC15	CDK6
UBC8	UBE2H
RAD53	FGFR3
DBP8	DDX49
KPC1	FGFR3
LCF3	ACSL4
STI1	STIP1
KAPA	EGFR
BDF2	BRD2
MYO5	MYO1F
KPC1	CDK2
AP3B	AP3B1
AIM25	PLS3
ARK1	CDK5
MAK16	MAK16
SWC4	DMAP1
KIN28	CDK5
CDC3	SEPT7
KSP1	ACVR1
SGM1	TMF1
PRP43	DHX15
UBA1	UBA1
MCM7	MCM7
ATR	ATR
HSE1	STAM2
SMT3	SUMO1
